2580:RRrrrR GgggGG bbBbBb
7721:RRrRRR GGGggG BbbbBB
2949:rrrrrr gggGgG bbbBbb
3030:rrRrrR GGgggG BbbBBB
9550:RRRRrR gGgGgG bbBBBb
8283:rRRrRR GgggGg BBBBBb
2142:rRrRrr gGgggG BbbbBB
9440:rRRrrR GGgGGg bBBBBb
3776:rrrrRR GGgGGg BbbBBb
7491:RRrrrR GGGGgG BBbBBB
9844:rrrrrr GgGGGG bBBbBb
1931:rrRrRR gGGGGG bBBBbb
2783:RrRrrR GggGgg bbbBBb
8947:RrRrRr GgGGGg Bbbbbb
4354:RrRrrr GgggGg bBBBBB
6448:RrRRRR GGGggg BbBBBb
8588:rRrRRr gGGggg bbBBBB
2527:RRRRrR GgGGGg BBbbBB
4057:RRRRRR GGGGGG BBBBBB
7610:rrrrrr gggggg bbbbbb
