id=1, plug=BLACK OCTAGON, leftSocket=BLACK DIAMOND, rightSocket=MAGENTA DIAMOND, data=1---3-3----2-2-------
id=2, plug=MAGENTA HEXAGON, leftSocket=MAGENTA OCTAGON, rightSocket=MAGENTA OCTAGON, data=---------------------
id=3, plug=MAGENTA SQUARE, leftSocket=RED STAR, rightSocket=WHITE TRIANGLE, data=1--------------------
id=4, plug=MAGENTA SQUARE, leftSocket=WHITE PENTAGON, rightSocket=MAGENTA DIAMOND, data=-----3-3----2-2-----1
id=5, plug=WHITE TRIANGLE, leftSocket=MAGENTA PENTAGON, rightSocket=YELLOW STAR, data=1--------------------
id=6, plug=MAGENTA SQUARE, leftSocket=YELLOW HEXAGON, rightSocket=GREEN TRIANGLE, data=---------------------
id=7, plug=YELLOW TRIANGLE, leftSocket=BLUE HEXAGON, rightSocket=RED STAR, data=1--33-----22---------
id=8, plug=BLUE OCTAGON, leftSocket=MAGENTA SQUARE, rightSocket=RED CIRCLE, data=--------------------1
id=9, plug=GREEN TRIANGLE, leftSocket=RED TRIANGLE, rightSocket=GREEN PENTAGON, data=---------------------
id=10, plug=GREEN TRIANGLE, leftSocket=WHITE DIAMOND, rightSocket=BLUE HEXAGON, data=------3-3----2-2----1
id=11, plug=MAGENTA OCTAGON, leftSocket=MAGENTA CIRCLE, rightSocket=BLACK OCTAGON, data=---33-----22--------1
id=12, plug=MAGENTA CIRCLE, leftSocket=GREEN DIAMOND, rightSocket=BLUE TRIANGLE, data=---------------------
id=13, plug=RED SQUARE, leftSocket=MAGENTA SQUARE, rightSocket=BLACK PENTAGON, data=--------------------1
id=14, plug=BLACK PENTAGON, leftSocket=GREEN SQUARE, rightSocket=GREEN OCTAGON, data=-----3-3----2-2-----1
id=15, plug=WHITE OCTAGON, leftSocket=RED TRIANGLE, rightSocket=YELLOW PENTAGON, data=--------------------1
id=16, plug=BLACK OCTAGON, leftSocket=BLUE PENTAGON, rightSocket=BLUE DIAMOND, data=---33-----22---------
id=17, plug=RED STAR, leftSocket=YELLOW OCTAGON, rightSocket=CYAN HEXAGON, data=------3-3----2-2-----
id=18, plug=YELLOW PENTAGON, leftSocket=GREEN TRIANGLE, rightSocket=YELLOW DIAMOND, data=---------------------
id=19, plug=BLACK SQUARE, leftSocket=RED SQUARE, rightSocket=RED STAR, data=1------3------2------
id=20, plug=MAGENTA CIRCLE, leftSocket=GREEN TRIANGLE, rightSocket=RED HEXAGON, data=---------------------
id=21, plug=RED SQUARE, leftSocket=WHITE DIAMOND, rightSocket=RED PENTAGON, data=1--------------------
id=22, plug=RED PENTAGON, leftSocket=BLACK PENTAGON, rightSocket=YELLOW STAR, data=---------------------
id=23, plug=GREEN DIAMOND, leftSocket=GREEN TRIANGLE, rightSocket=GREEN CIRCLE, data=--------------------1
id=24, plug=CYAN SQUARE, leftSocket=BLUE CIRCLE, rightSocket=MAGENTA PENTAGON, data=--------------------1
id=25, plug=WHITE CIRCLE, leftSocket=BLUE STAR, rightSocket=WHITE STAR, data=---------------------
id=26, plug=MAGENTA DIAMOND, leftSocket=MAGENTA DIAMOND, rightSocket=YELLOW OCTAGON, data=1--------------------
id=27, plug=RED OCTAGON, leftSocket=YELLOW DIAMOND, rightSocket=RED PENTAGON, data=-----3------2--------
id=28, plug=YELLOW HEXAGON, leftSocket=YELLOW SQUARE, rightSocket=MAGENTA SQUARE, data=-----3------2-------1
id=29, plug=GREEN HEXAGON, leftSocket=MAGENTA OCTAGON, rightSocket=YELLOW PENTAGON, data=1------3-3----2-2----
id=30, plug=MAGENTA HEXAGON, leftSocket=BLUE HEXAGON, rightSocket=MAGENTA OCTAGON, data=--------------------1
id=31, plug=GREEN PENTAGON, leftSocket=WHITE TRIANGLE, rightSocket=RED PENTAGON, data=-------3-3----2-2----
id=32, plug=BLUE STAR, leftSocket=RED STAR, rightSocket=MAGENTA HEXAGON, data=1--------------------
id=33, plug=RED CIRCLE, leftSocket=RED TRIANGLE, rightSocket=CYAN CIRCLE, data=---------------------
id=34, plug=YELLOW DIAMOND, leftSocket=WHITE SQUARE, rightSocket=MAGENTA OCTAGON, data=----3------2--------1
id=35, plug=RED CIRCLE, leftSocket=MAGENTA HEXAGON, rightSocket=GREEN SQUARE, data=--------------------1
id=36, plug=GREEN CIRCLE, leftSocket=WHITE SQUARE, rightSocket=MAGENTA STAR, data=---------------------
id=37, plug=RED STAR, leftSocket=WHITE PENTAGON, rightSocket=BLACK DIAMOND, data=----3------2--------1
id=38, plug=BLACK HEXAGON, leftSocket=RED TRIANGLE, rightSocket=GREEN CIRCLE, data=1--------------------
id=39, plug=WHITE DIAMOND, leftSocket=BLACK PENTAGON, rightSocket=GREEN HEXAGON, data=---------------------
id=40, plug=MAGENTA SQUARE, leftSocket=YELLOW DIAMOND, rightSocket=WHITE OCTAGON, data=--------------------1
id=41, plug=RED DIAMOND, leftSocket=RED SQUARE, rightSocket=CYAN HEXAGON, data=---------------------
id=42, plug=YELLOW OCTAGON, leftSocket=BLUE PENTAGON, rightSocket=GREEN SQUARE, data=------3-3----2-2-----
id=43, plug=BLUE CIRCLE, leftSocket=BLUE OCTAGON, rightSocket=BLUE DIAMOND, data=------3--3---2--2----
id=44, plug=GREEN STAR, leftSocket=CYAN PENTAGON, rightSocket=CYAN SQUARE, data=1--------------------
id=45, plug=WHITE DIAMOND, leftSocket=BLUE CIRCLE, rightSocket=BLACK CIRCLE, data=--------------------1
id=46, plug=YELLOW DIAMOND, leftSocket=BLACK STAR, rightSocket=RED OCTAGON, data=---------3-3----2-2-1
id=47, plug=BLACK DIAMOND, leftSocket=YELLOW CIRCLE, rightSocket=WHITE CIRCLE, data=--------------------1
id=48, plug=MAGENTA STAR, leftSocket=WHITE PENTAGON, rightSocket=WHITE STAR, data=-----3------2-------1
id=49, plug=WHITE PENTAGON, leftSocket=WHITE TRIANGLE, rightSocket=BLUE PENTAGON, data=------3-3----2-2-----
id=50, plug=BLUE SQUARE, leftSocket=CYAN HEXAGON, rightSocket=CYAN HEXAGON, data=1------3------2------
id=51, plug=CYAN CIRCLE, leftSocket=YELLOW CIRCLE, rightSocket=GREEN HEXAGON, data=-----3-3----2-2-----1
id=52, plug=WHITE TRIANGLE, leftSocket=RED TRIANGLE, rightSocket=CYAN PENTAGON, data=1-----3-3----2-2-----
id=53, plug=MAGENTA STAR, leftSocket=CYAN DIAMOND, rightSocket=GREEN CIRCLE, data=1------3------2------
id=54, plug=GREEN STAR, leftSocket=YELLOW TRIANGLE, rightSocket=CYAN PENTAGON, data=-----3------2-------1
id=55, plug=GREEN STAR, leftSocket=BLACK TRIANGLE, rightSocket=RED PENTAGON, data=-----3------2--------
