id=1, plug=GREEN DIAMOND, leftSocket=YELLOW DIAMOND, rightSocket=CYAN TRIANGLE, data=--1-1----3-3----3---1
id=2, plug=CYAN HEXAGON, leftSocket=GREEN HEXAGON, rightSocket=CYAN DIAMOND, data=-11111------33333----
id=3, plug=YELLOW SQUARE, leftSocket=CYAN HEXAGON, rightSocket=BLUE HEXAGON, data=----1------3---------
id=4, plug=BLUE STAR, leftSocket=CYAN STAR, rightSocket=BLACK HEXAGON, data=-----------------2---
id=5, plug=GREEN SQUARE, leftSocket=CYAN SQUARE, rightSocket=GREEN TRIANGLE, data=-------------------3-
id=6, plug=CYAN OCTAGON, leftSocket=WHITE PENTAGON, rightSocket=BLACK SQUARE, data=----1------3------2--
id=7, plug=CYAN OCTAGON, leftSocket=BLACK STAR, rightSocket=BLUE DIAMOND, data=-----1------3-------1
id=8, plug=CYAN SQUARE, leftSocket=BLACK PENTAGON, rightSocket=MAGENTA STAR, data=----1------3-------1-
id=9, plug=BLACK STAR, leftSocket=GREEN PENTAGON, rightSocket=BLACK CIRCLE, data=----1-1----3-3------1
id=10, plug=GREEN STAR, leftSocket=GREEN DIAMOND, rightSocket=MAGENTA SQUARE, data=-------1------3------
id=11, plug=BLACK PENTAGON, leftSocket=BLUE CIRCLE, rightSocket=GREEN HEXAGON, data=--1------3-----------
id=12, plug=GREEN OCTAGON, leftSocket=BLUE DIAMOND, rightSocket=YELLOW HEXAGON, data=--1-1----3-3----3---1
id=13, plug=GREEN STAR, leftSocket=MAGENTA PENTAGON, rightSocket=BLUE TRIANGLE, data=-------1------3------
id=14, plug=MAGENTA SQUARE, leftSocket=RED TRIANGLE, rightSocket=RED TRIANGLE, data=-----1------3--------
id=15, plug=MAGENTA HEXAGON, leftSocket=WHITE PENTAGON, rightSocket=YELLOW TRIANGLE, data=----1------3------2--
id=16, plug=YELLOW PENTAGON, leftSocket=WHITE DIAMOND, rightSocket=MAGENTA HEXAGON, data=-----------------2---
id=17, plug=BLUE DIAMOND, leftSocket=WHITE DIAMOND, rightSocket=RED PENTAGON, data=-----1------3-------1
id=18, plug=BLACK PENTAGON, leftSocket=GREEN PENTAGON, rightSocket=GREEN OCTAGON, data=-------------------3-
id=19, plug=WHITE STAR, leftSocket=BLUE TRIANGLE, rightSocket=YELLOW PENTAGON, data=----1------3------2--
